Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward
5540000,1.2622062,0.00018930041,2.1861926410347223,243.45454545454547,0.8455727,0.049874667,2.1861926437440244,0.11732750187035311
5550000,1.2619692,0.00018910393,2.0826768167316914,242.34375,0.8474701,0.049896006,2.0826768146362156,0.12407809728756547
5560000,1.2614402,0.00018889691,2.1455506349228464,243.0188679245283,0.8478332,0.049995888,2.145550637312655,0.12047190728755493
5570000,1.2611568,0.00018869503,2.1870172203828893,240.69444444444446,0.849003,0.050015572,2.1870172212107315,0.1157401117703153
5580000,1.2605909,0.00018850225,2.1986896257019706,242.22222222222223,0.8446525,0.049957875,2.198689629427261,0.11558542337216851
5590000,1.260319,0.00018830782,2.1286061881927023,235.0701754385965,0.84565896,0.050196547,2.1237728569124426,0.11291432681277261
5600000,1.2600014,0.00018809976,2.1286865143525984,243.5483870967742,0.85335034,0.050224006,2.142228684117717,0.11794760360592796
5610000,1.2595642,0.00018789824,2.1595311226944127,239.91666666666666,0.8570698,0.050002832,2.1477984918488398,0.1171293583077689
5620000,1.2594426,0.00018770139,2.223476402014494,244.32,0.8532041,0.050180178,2.2269737314359817,0.12484392661637828
5630000,1.2591083,0.00018750482,2.1305336886469055,246.08823529411765,0.86214566,0.050180778,2.130533688208636,0.11853431866449468
5640000,1.2587442,0.00018730304,2.188043303384974,245.32432432432432,0.86651134,0.050311767,2.1833614889118405,0.11847607237804267
5650000,1.2585233,0.00018709652,2.2183947193507967,246.05769230769232,0.86836517,0.05055787,2.2270272001624107,0.11620650060761434
5660000,1.2579026,0.00018690035,2.218918169150129,246.1875,0.871092,0.049860086,2.209487301833702,0.11503006958148697
5670000,1.2575479,0.00018670034,2.288344967411831,246.125,0.8727433,0.04983767,2.2883449671790004,0.11837015929631889
5680000,1.256943,0.00018649423,2.2322176318487217,245.36206896551724,0.87350297,0.049969096,2.2314544852104103,0.11727455480579745
5690000,1.2565343,0.00018629742,2.082317871440734,240.10714285714286,0.87810993,0.050017904,2.0889868106821488,0.1163800607981353
5700000,1.2563225,0.00018610214,2.2704748160935737,238.54054054054055,0.8778024,0.05013709,2.2704748154894725,0.11507718456355301
5710000,1.2557749,0.000185902,2.213736249478879,245.74074074074073,0.87992173,0.050075542,2.2137362504446947,0.11776213537625692
5720000,1.2555149,0.0001856984,2.110176178626716,239.90625,0.87599754,0.05008409,2.1101761790923774,0.11650768993422389
5730000,1.2550728,0.0001855005,2.2113187043247997,239.1891891891892,0.87575364,0.04984917,2.2178977785838976,0.11389649752527475
5740000,1.254534,0.0001853029,2.1784972882208726,243.52083333333334,0.8740483,0.04978511,2.1743335079173653,0.12051664691950593
5750000,1.2543116,0.00018509977,2.109359019077741,238.15384615384616,0.8711481,0.04995513,2.1093590196508627,0.11554338374676612
5760000,1.2538445,0.00018489879,2.1013445475926766,229.97435897435898,0.8724092,0.05021697,2.1013445475926766,0.11310392962052272
5770000,1.2535841,0.00018470164,2.2322021708216355,240.19565217391303,0.87107235,0.049900033,2.2322021709836046,0.11997223536119513
5780000,1.2532632,0.00018450407,2.214072828622241,243.81578947368422,0.8707325,0.04961493,2.2140728294065126,0.12392163384509713
5790000,1.252785,0.00018430209,2.2166270500956435,242.28205128205127,0.8723072,0.049946237,2.2157522275259622,0.11935487857676651
5800000,1.2525897,0.00018410302,2.26484807648442,245.72727272727272,0.87249583,0.050110154,2.2639702651649714,0.11789181180806323
5810000,1.2520657,0.0001839034,2.2115915243114745,241.54285714285714,0.8789815,0.050522536,2.2137277082850537,0.11492360507448514
