Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
12540000,1.1328973,4.928639e-05,1.1196542,0.035369657,2.5306518830358984,235.8,2.5306518875062465,0.07418136890046298
12550000,1.1328063,4.9087183e-05,1.1181788,0.035018373,2.7333313023428554,246.0108695652174,2.7333313019379326,0.08588710204576669
12560000,1.1327856,4.8887887e-05,1.1153829,0.034646653,2.7682924419641495,246.0,2.7682924440928867,0.07855151061500822
12570000,1.1326512,4.870385e-05,1.119385,0.034961853,2.7331833920401074,246.02173913043478,2.712648745626211,0.08032979309791699
12580000,1.1325608,4.848783e-05,1.1191062,0.034980156,2.7336588003512086,246.0,2.7372303029352967,0.08479147613979876
12590000,1.1324617,4.8290447e-05,1.1209414,0.03522422,2.776172697544098,246.0,2.776172697544098,0.07792292907834053
12600000,1.1323766,4.8096706e-05,1.1214911,0.035052937,2.7237056517537606,244.06382978723406,2.7237056511196682,0.0787136458712531
12610000,1.1323069,4.7892503e-05,1.1201476,0.034681004,2.755867926828694,246.0,2.7558679277436777,0.08140077840602189
12620000,1.1322324,4.7707777e-05,1.1195946,0.03477772,2.5894937448394604,236.94871794871796,2.5298353362342585,0.08102977417571389
12630000,1.1322191,4.7500067e-05,1.1201285,0.03456248,2.767896045176756,246.02380952380952,2.7429502891997495,0.08057811619558682
12640000,1.1321963,4.7296933e-05,1.1177773,0.034381177,2.6618201804657775,235.6,2.6812167219817638,0.07719749952666462
12650000,1.1321747,4.711269e-05,1.1204402,0.034474734,2.7332753729075194,246.775,2.733275371789932,0.08263192970771342
12660000,1.1321347,4.690477e-05,1.1192082,0.034874145,2.7122760188094404,240.0,2.7122760198490563,0.08470156492643752
12670000,1.1320575,4.6712117e-05,1.1178254,0.03508165,2.751507108898035,245.89285714285714,2.751507107168436,0.08488286441258554
12680000,1.1320428,4.6516452e-05,1.1221627,0.035023905,2.7130476096644998,246.125,2.713047608733177,0.0869091817876324
12690000,1.1319599,4.6306806e-05,1.1199343,0.035082765,2.692520425805161,243.17741935483872,2.6811269766722736,0.08324067710110775
12700000,1.131935,4.6104844e-05,1.117057,0.034916047,2.733399999492309,246.08823529411765,2.7375741736455397,0.0834647302981466
12710000,1.1318798,4.5903063e-05,1.1201234,0.03547855,2.6793017409303608,238.64705882352942,2.6793017404920914,0.07239263707443196
12720000,1.1318277,4.569065e-05,1.1172411,0.03522442,2.75653714502559,245.51764705882354,2.7565371448502822,0.07925137511509306
12730000,1.1318076,4.5494027e-05,1.1183425,0.034877736,2.6477720295744285,233.07142857142858,2.619446885127288,0.07094720994623807
12740000,1.1317676,4.529381e-05,1.1185864,0.03493842,2.7796341737111407,246.06666666666666,2.7944069653749466,0.07690780860139057
12750000,1.1317023,4.5089633e-05,1.115054,0.03489115,2.78404403619823,245.5,2.784044036819112,0.07973341190344876
12760000,1.1316032,4.4899163e-05,1.1142931,0.034772098,2.550283628205458,231.41666666666666,2.5502836325516305,0.07717620711385582
12770000,1.1315376,4.4696353e-05,1.1208656,0.034638196,2.7725097769221594,246.09302325581396,2.772509777268698,0.07838974687335797
12780000,1.1314954,4.4484612e-05,1.1065724,0.034678817,2.633718973446277,235.91935483870967,2.633718974407642,0.07590092020109296
12790000,1.1314386,4.4293414e-05,1.1157156,0.034263212,2.77047535266195,246.05714285714285,2.7684429235318126,0.0820953015183263
12800000,1.1313994,4.40992e-05,1.114022,0.03435552,2.7772420240300044,246.04761904761904,2.7857477636564347,0.08377925767785027
12810000,1.1313133,4.3896292e-05,1.1180016,0.03446567,2.7761597269267404,246.0,2.7740263497387923,0.0853223121656036
12820000,1.1312584,4.3701926e-05,1.1163197,0.03437561,2.7648538685270716,246.02857142857144,2.764853869165693,0.08164621767188822
12830000,1.1312144,4.349293e-05,1.1186861,0.034373846,2.704357144949229,241.52173913043478,2.661150163412094,0.0801302581715087
12840000,1.1311394,4.3292515e-05,1.117721,0.034261752,2.7920102212164135,246.0185185185185,2.7904925099440985,0.07865096583430256
12850000,1.1311107,4.30985e-05,1.1136223,0.034265913,2.6479858880241713,238.85714285714286,2.6479858908624876,0.07849656138569117
12860000,1.1310616,4.2894862e-05,1.1171892,0.034170814,2.7104712546699576,246.0,2.7104712542560367,0.08032636044340001
