Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
1180000,883.2332,0.18501015,-878.74695,0.072628304,0.039396282,0.0017557474,12.499051,0.0076502967,22347.13479400902,247.0,22176.831819950443
1190000,900.5445,0.19823766,-887.28174,0.07758356,0.04325925,0.0012848782,11.6724205,0.0076274048,22347.452755479073,247.0,22809.87548282626
1200000,872.80035,0.2462017,-887.4127,0.09642029,0.047128446,0.001002644,11.981911,0.0076173153,None,None,17600.401808665556
1210000,864.00226,0.29811472,-888.55676,0.121605925,0.058191236,0.0013368791,10.628424,0.0075899297,None,None,None
1220000,899.96075,0.32712442,-886.00757,0.13200784,0.068654105,0.001358126,11.239647,0.0075643244,None,None,None
1230000,903.73926,0.27126443,-904.3675,0.10949613,0.06207171,0.0013446694,12.831156,0.0075463424,22345.67518034598,247.0,22881.10910751552
1240000,871.6898,0.7816721,-887.1816,0.38847858,0.0649685,0.0009592888,12.536655,0.007532174,22346.21801063874,247.0,22013.366182910162
1250000,900.7137,9.335355,-891.79407,5.119671,0.0502633,0.002135087,11.03669,0.0075058215,None,None,None
1260000,887.09607,3.9691772,-887.98236,2.0915463,0.04554991,0.002795062,12.411421,0.007492809,None,None,None
1270000,904.01685,14.466329,-886.76935,6.98105,0.067992084,0.004052653,11.802752,0.007467634,None,None,None
1280000,888.8076,11.669859,-886.12396,5.314674,0.23167264,0.0041970517,12.597974,0.0074452157,22345.38185205559,247.0,22654.442218837918
1290000,870.2296,42.837196,-886.5698,16.60735,1.7253182,0.005327405,13.725187,0.007436214,None,None,17597.0898690603
1300000,860.90607,52.641098,-885.79803,3.9333384,13.061953,0.003610446,13.580491,0.0074085435,None,None,None
1310000,896.48346,6.8120685,-886.1009,3.385877,0.037945226,0.0041846004,13.89182,0.007388294,None,None,None
1320000,890.4724,173.6759,-886.64246,63.262714,0.2923046,0.0035402735,13.976559,0.007370025,22346.24074675743,247.0,22346.240732442173
1330000,867.76215,86.622246,-883.3891,11.959707,18.594746,0.006649004,13.175037,0.0073500513,22346.104927468215,247.0,22346.105053155512
1340000,893.65063,0.3269911,-879.19543,0.040430736,0.06538272,0.0034031447,13.241492,0.007325884,None,None,None
1350000,883.8395,0.43670195,-882.88916,0.033269662,0.18788578,0.0018490958,13.065559,0.007306297,None,None,None
1360000,884.4084,78.429184,-881.9361,0.4396426,25.630575,0.0012526937,12.305663,0.0072882203,22345.890052820247,247.0,22175.7504273057
1370000,883.2735,73.42364,-879.1074,36.96837,0.23497911,0.0010666111,10.779667,0.0072714477,22346.351872902364,247.0,22413.938426606863
1380000,893.6298,45.041794,-884.8342,9.356444,2.9935586,0.0039242995,13.017491,0.0072514084,22346.414233168794,247.0,22346.413761369055
1390000,876.9422,44.873768,-882.5809,0.04874003,21.55537,0.0024290225,15.216082,0.0072269524,22346.502894979385,247.0,22613.92716611665
1400000,895.60095,2.205845,-880.1631,0.09328486,0.89356035,0.0010712995,14.165765,0.0072105867,None,None,21238.60340278489
1410000,871.3383,20.357569,-880.9356,2.7976258,6.8157725,0.0008110905,12.999175,0.0071947114,22345.386407867903,247.0,22345.386434290143
1420000,870.5248,44.91487,-880.1329,14.223828,7.9081645,0.003381285,14.7436,0.007170243,22345.82594670259,247.0,22345.825868168362
1430000,884.80585,73.01997,-880.3589,4.2738876,24.632214,0.0036605813,14.82654,0.0071471026,22346.347892156078,248.0,59.65041160583496
1440000,885.18585,88.34837,-882.27905,21.824799,15.377075,0.0047296854,14.148911,0.007129331,None,None,22983.11094133854
1450000,879.14923,50.262207,-879.4995,3.5397027,6.5047107,0.00829579,12.707985,0.007107264,None,None,None
1460000,895.6386,40.17585,-881.43036,10.72393,8.946731,0.0075043286,12.948175,0.0070889397,22344.519350067196,247.0,22344.519365117576
1470000,866.40686,53.30145,-882.7022,11.417343,11.828278,0.016066907,17.82334,0.0070683616,22345.081546132213,247.0,22345.081573746407
1480000,882.72656,28.20035,-866.5899,3.2733622,4.9402866,0.09596126,39.298714,0.0070504746,None,None,None
1490000,586.8375,1406.278,-671.7249,85.88117,217.4683,1.186189,41.02726,0.007034025,None,None,None
1500000,-639.8911,7738.101,278.81207,124.51775,182.41954,6.260843,41.02726,0.0070133684,22341.911265670424,248.0,22802.059785991907
1510000,-4329.2847,78813.31,3725.9458,7386.781,9144.528,27.108217,41.02726,0.006990465,22341.55340970418,247.66666666666666,22210.095154283834
1520000,-28522.8,1397478.5,24844.115,104732.555,96368.67,143.13994,41.027256,0.0069707124,22340.438069937958,248.0,22340.438384672005
1530000,-97279.11,41197652.0,144926.3,2433418.5,2267767.5,762.0138,41.02726,0.0069452142,None,None,None
1540000,-374303.12,237771700.0,375580.62,14182212.0,14296580.0,1915.5266,41.027256,0.0069301086,None,None,None
1550000,-812109.75,694989600.0,762345.2,47754676.0,49071160.0,3800.2637,41.027256,0.006910082,22340.80551918472,247.0,22988.779987127113
1560000,-2634305.0,10580081000.0,2996800.2,500826270.0,458967940.0,14412.845,41.02726,0.006889948,22340.774615730676,247.0,21916.244842309377
1570000,-7337951.5,43998757000.0,7469146.5,1765522200.0,2231499000.0,35326.992,41.02726,0.0068695573,22340.78301678267,247.0,22340.783273844256
1580000,-28282850.0,384809070000.0,21768306.0,15596108000.0,14594586000.0,100693.49,41.027256,0.0068538594,None,None,None
1590000,-60103944.0,1415181500000.0,56643404.0,31516027000.0,24001235000.0,258887.16,41.027256,0.006831729,22340.820797939683,247.0,22608.269549632896
1600000,-177510900.0,10365981000000.0,171221520.0,543235640000.0,400824370000.0,790135.1,41.027256,0.006810175,22340.809736479765,247.0,22273.3670652488
1610000,-457825180.0,108159834000000.0,475458800.0,4399580600000.0,1836331600000.0,2207527.5,41.027256,0.006788454,None,None,None
1620000,-1175060600.0,928053240000000.0,1195185200.0,4934419300000.0,5551078500000.0,5380108.0,41.02726,0.006771303,22340.820331339622,247.0,22340.820484744178
