Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward
450000,1.416649,0.00029109695,0.5502528938586297,226.7826086956522,0.24720344,0.0339464,0.5500518108936067,0.07736318620253711
460000,1.4164084,0.00029090355,0.5840175888117622,229.35294117647058,0.24500792,0.033946797,0.584017589030897,0.07790112524868592
470000,1.4162958,0.00029070277,0.5704899600810475,225.2,0.2449353,0.033728953,0.5682263294742866,0.07581766976297578
480000,1.4162722,0.00029050445,0.5960111111402512,227.64,0.24691154,0.033695064,0.5974636333538037,0.07624685180866543
490000,1.4163133,0.00029030244,0.5939055331051349,228.93333333333334,0.24927726,0.033810653,0.5939055333534876,0.0765759332338348
500000,1.4164007,0.00029009752,0.6267734920641161,235.26415094339623,0.25264943,0.033821847,0.6267734917829622,0.07802907735513488
510000,1.4164712,0.00028990314,0.6829673967710356,238.2439024390244,0.25644788,0.0338619,0.6829673967710356,0.07835770779993476
520000,1.4162663,0.00028970247,0.6074861542266958,224.52941176470588,0.25662556,0.033682816,0.6049784938945915,0.07420660874270128
530000,1.4161808,0.0002895039,0.6283052314359409,227.92307692307693,0.25679094,0.03355597,0.627360359693949,0.07534105686220126
540000,1.4159833,0.00028930657,0.6498449232156683,223.1219512195122,0.2566798,0.033141818,0.6519765273800918,0.07272658712186274
550000,1.4155527,0.00028910482,0.6140413976141385,216.02380952380952,0.25647718,0.033048086,0.6140413977915332,0.06999323120717668
560000,1.4152544,0.00028890182,0.6670167334377766,237.8695652173913,0.2575706,0.03300592,0.6670167332758075,0.07737200406035813
570000,1.4147296,0.0002887028,0.6814475988348325,232.3111111111111,0.25776067,0.03281009,0.6814475994971063,0.07495434497379594
580000,1.4147469,0.00028849943,0.6709005107933824,235.27272727272728,0.2600769,0.03265127,0.6709005105676074,0.07646699536902209
590000,1.4148291,0.00028829815,0.7021670348520549,240.66037735849056,0.26013792,0.032423757,0.7021670351332089,0.07812167591643783
600000,1.4147826,0.0002881022,0.6446588778574216,224.81578947368422,0.26211506,0.032249738,0.6405472634611903,0.0727207306646616
610000,1.4147607,0.00028790027,0.6459186151623726,221.8048780487805,0.26198158,0.03220496,0.6495107575541451,0.07155562017024272
620000,1.4146804,0.00028769832,0.7182091413438321,237.36,0.26432022,0.03209719,0.7182091408967972,0.07617236844613216
630000,1.4146315,0.00028749937,0.7143467525020242,243.96875,0.2659642,0.032003276,0.7143467520363629,0.07799486730800709
640000,1.4145449,0.00028729928,0.7348502044414364,237.7674418604651,0.2693713,0.031772118,0.7337294621836572,0.07584048360253551
650000,1.414363,0.00028709925,0.7222375809822393,234.69565217391303,0.27310348,0.03168575,0.7235074499820141,0.0755856722355523
660000,1.4142677,0.00028690134,0.6560359574854374,213.475,0.27611154,0.031539503,0.6560359571129084,0.06806771171977744
670000,1.4138044,0.00028670122,0.714562002569437,234.45454545454547,0.27551612,0.031454835,0.7145620029080998,0.07506074591285804
680000,1.4135542,0.00028650372,0.687347565656123,226.91304347826087,0.27646914,0.03144507,0.6873475661420304,0.07265710700100855
690000,1.4132537,0.00028630314,0.7711808737870809,228.6216216216216,0.27646926,0.031410042,0.7711808737870809,0.0727881342550186
700000,1.4130754,0.00028610093,0.7383058584750967,225.63829787234042,0.27902776,0.031142596,0.737325850226309,0.07168633471313945
710000,1.4130064,0.0002859012,0.7258098236423858,222.4255319148936,0.28048453,0.031029062,0.7270093324283758,0.07016537230447284
720000,1.4128988,0.00028569932,0.7678796817149435,231.65714285714284,0.2824973,0.030943537,0.7678796821406909,0.0732892988282921
730000,1.4126973,0.00028549993,0.7977867622641807,238.4468085106383,0.2841432,0.030799875,0.7977867616300888,0.07464029049461192
740000,1.4125177,0.00028530273,0.8101922373541377,227.52272727272728,0.28704998,0.030729463,0.8082404455473257,0.07112692267265777
750000,1.4121563,0.00028509906,0.7763314096106065,231.72972972972974,0.28836194,0.030365061,0.7794310901510088,0.07214918751024495
760000,1.4120682,0.00028489757,0.8089391252268916,240.0,0.28878352,0.030234678,0.8089391244170459,0.0746023276284256
770000,1.4119185,0.0002847035,0.7471007020636038,221.86363636363637,0.28983477,0.030046077,0.7471007018942725,0.06922296585980803
780000,1.4117762,0.0002845036,0.7977257281955745,238.69444444444446,0.29095453,0.029934937,0.7977257290234169,0.07373791350983083
790000,1.4116614,0.0002842971,0.7750919058042414,229.64705882352942,0.2908274,0.02994765,0.7751777893304825,0.07113012036308647
800000,1.4114475,0.00028410085,0.7513818917579429,223.2325581395349,0.2921979,0.029704114,0.7518231607973576,0.06885288966375148
810000,1.4113725,0.00028390303,0.7279598165303469,212.25,0.29274872,0.029716106,0.7279598163440824,0.06532036749995314
820000,1.4112269,0.00028369692,0.7899746491896863,227.9387755102041,0.29285347,0.029720226,0.789974649341739,0.07007330508513034
830000,1.4111592,0.00028350134,0.7250420755960725,214.75,0.29444215,0.02968512,0.7213338362269623,0.06565949379813013
840000,1.4111279,0.00028329954,0.6937840397053576,208.2127659574468,0.29574722,0.02969928,0.6977572129108012,0.06380019633070333
850000,1.4110335,0.00028309834,0.8193085299032491,234.73170731707316,0.29568335,0.029631529,0.8159123830497265,0.07131864142429549
860000,1.4110646,0.00028290134,0.8029642980112586,232.7906976744186,0.29647735,0.02954984,0.8075000631601311,0.07099150360540249
870000,1.4111158,0.000282701,0.8737868616978327,236.47222222222223,0.29716414,0.029444212,0.8707146920465134,0.0717074576626859
880000,1.4113073,0.00028249936,0.826001680145661,225.3125,0.30039597,0.029265014,0.8260016803008815,0.06871492169739213
890000,1.4113636,0.0002823034,0.8582549079913985,237.5681818181818,0.3027024,0.029199459,0.8582549088380553,0.07224614452570677
900000,1.4113673,0.00028209967,0.7901258160256677,225.88888888888889,0.30531067,0.028989473,0.7901258156117466,0.0682415119307633
910000,1.4111817,0.00028190098,0.8205248765923359,228.42592592592592,0.30549166,0.028949695,0.8205248763163885,0.06924787997613074
920000,1.4109688,0.0002817033,0.780111350828693,211.52380952380952,0.30648586,0.028898664,0.7746652206633149,0.06426015231622065
930000,1.4105119,0.00028149842,0.8057465362476139,220.90243902439025,0.30812928,0.028763592,0.8104526372182936,0.06669029401936791
940000,1.4103009,0.0002813029,0.814859538183858,222.5625,0.30931056,0.02871029,0.8148595380286375,0.06696720019196316
950000,1.4098212,0.0002811022,0.8713340318124545,227.3684210526316,0.31266728,0.028688371,0.8713340320085224,0.06830411827755406
960000,1.4094021,0.00028089713,0.8907891622945374,230.76470588235293,0.31496564,0.02873684,0.8907891624406272,0.06970607066257656
970000,1.4089991,0.0002806962,0.8251714933486212,217.35714285714286,0.3173848,0.028792538,0.8251714938808055,0.06526502634265594
980000,1.4085995,0.0002804974,0.7701117355715145,224.25,0.32159042,0.028790398,0.7701117355715145,0.06665900600968268
990000,1.408544,0.0002802969,0.8806874132936909,231.61904761904762,0.3215785,0.028745864,0.8806874134710857,0.06932932902349248
1000000,1.4084872,0.00028009622,0.8697812791913748,231.8,0.3221632,0.02858602,0.8767611947961342,0.0691834677888367
