Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
530000,13.527908,0.0008949189,-0.8702127545883384,124.70886075949367,8.856563,-0.8582624673277517,0.60250103,-7.9949074,0.28874746,0.2834449,0.024209876
540000,13.457577,0.0008930229,-0.8534329033694988,115.87209302325581,8.599877,-0.8619249628553557,0.6457275,-8.12597,0.30784062,0.30197844,0.023187883
550000,13.391897,0.0008909989,-0.8676395533715977,116.61176470588235,8.341668,-0.8572816515670103,0.6251226,-7.90916,0.30181202,0.2991258,0.022167873
560000,13.4673815,0.0008889622,-0.8664130566791556,114.816091954023,7.9793854,-0.8776382631782828,0.60422766,-7.8535733,0.29313484,0.29267842,0.021062136
570000,13.515382,0.000886923,-0.8328376717277264,129.27631578947367,7.6798,-0.8187571211080802,0.590974,-7.593127,0.28746322,0.28677478,0.020146089
580000,13.7123785,0.00088511425,-0.8408204691508149,124.73417721518987,7.5159826,-0.8571005326848996,0.510666,-7.4659033,0.24744733,0.2468191,0.019389581
590000,13.758461,0.0008830223,-0.8196909385613906,128.8846153846154,7.2470956,-0.8161427861987016,0.52889365,-7.279116,0.25945312,0.2594579,0.018754506
600000,13.882802,0.0008809914,-0.8777640003983568,119.48780487804878,6.9806767,-0.8659658343871919,0.4413556,-7.0629725,0.21605141,0.21553566,0.017870568
610000,13.896346,0.0008790105,-0.8161216968670487,125.4375,6.669113,-0.8162547314539552,0.39067635,-6.73472,0.19249606,0.19238697,0.016738508
620000,14.088075,0.00087699504,-0.7860082099969322,132.86486486486487,6.387275,-0.7867310995588431,0.36160094,-6.449742,0.17842057,0.17846878,0.015707575
630000,14.103712,0.00087496144,-0.7042177066206932,142.02857142857144,6.179818,-0.7196519954696946,0.3132561,-6.211278,0.15487388,0.15465991,0.014821207
640000,14.242373,0.00087312923,-0.717709880067061,138.12328767123287,5.9231114,-0.7191277459465168,0.30685946,-5.97942,0.15145834,0.15142661,0.013957079
650000,14.164762,0.0008710942,-0.6618169838237384,157.5079365079365,5.723509,-0.6602390298531169,0.2928775,-5.759408,0.14481679,0.14487739,0.013148382
